Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HS051_S102_L004_R2_001	HS051_S102_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9682169.0	1.4 Gbp	0.0	151.0	51.0	93.40140484354627	151.0	151	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	fail
HS052_S103_L004_R1_001	HS052_S103_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66706186.0	10 Gbp	0.0	151.0	51.0	22.17327345313766	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
HS052_S103_L004_R2_001	HS052_S103_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66706186.0	10 Gbp	0.0	151.0	52.0	22.16765192647281	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	fail	fail	pass
HS053_S104_L004_R1_001	HS053_S104_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84803761.0	12.8 Gbp	0.0	151.0	45.0	26.75002943850901	151.0	151	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
HS053_S104_L004_R2_001	HS053_S104_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84803761.0	12.8 Gbp	0.0	151.0	46.0	26.962789830773037	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	pass
HS054_S105_L004_R1_001	HS054_S105_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74186464.0	11.2 Gbp	0.0	151.0	49.0	26.626429177491712	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	pass
HS054_S105_L004_R2_001	HS054_S105_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74186464.0	11.2 Gbp	0.0	151.0	49.0	26.59094842476708	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	pass
HS055_S106_L004_R1_001	HS055_S106_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53786493.0	8.1 Gbp	0.0	151.0	52.0	35.19377927913149	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
HS055_S106_L004_R2_001	HS055_S106_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53786493.0	8.1 Gbp	0.0	151.0	53.0	34.70157448823495	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	pass
HS056_S107_L004_R1_001	HS056_S107_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29067665.0	4.3 Gbp	0.0	151.0	47.0	39.66958742810124	151.0	151	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
HS056_S107_L004_R2_001	HS056_S107_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29067665.0	4.3 Gbp	0.0	151.0	47.0	39.0382178855749	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	warn
HS057_S108_L004_R1_001	HS057_S108_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25912709.0	3.8 Gbp	0.0	150.0	54.0	60.004846843632365	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	warn	fail	pass
HS057_S108_L004_R2_001	HS057_S108_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25912709.0	3.8 Gbp	0.0	150.0	54.0	63.60401070700566	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	warn	fail	pass
HS058_S109_L004_R1_001	HS058_S109_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	378392867.0	56.7 Gbp	0.0	150.0	54.0	68.64790132654993	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HS058_S109_L004_R2_001	HS058_S109_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	378392867.0	56.7 Gbp	0.0	150.0	54.0	70.2689147108012	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
